,CITY,POPULATION
0,Anantapur,"4,083,315"
1,Chittoor,"4,170,468"
2,East Godavari,"5,151,549"
3,Guntur,"4,889,230"
4,Kadapa,"2,884,524"
5,Krishna,"4,529,009"
6,Kurnool,"4,046,601"
7,Prakasam,"3,392,764"
8,Sri Potti Sriramulu Nellore,"2,966,082"
9,Srikakulam,"2,699,471"
10,Visakhapatnam,"4,288,113"
11,Vizianagaram,"2,342,868"
12,West Godavari,"3,934,782"
13,Anjaw,"21,089"
14,Changlang,"147,951"
15,East Kameng,"78,413"
16,East Siang,"99,019"
17,Kamle, – 
18,Kra Daadi, – 
19,Kurung Kumey,"89,717"
20,Lepa Rada, – 
21,Lohit,"145,538"
22,Longding, – 
23,Lower Dibang Valley,"53,986"
24,Lower Siang, – 
25,Lower Subansiri,"82,839"
26,Namsai, – 
27,Pakke-Kessang, – 
28,Papum Pare,"176,385"
29,Shi Yomi, – 
30,Siang, – 
31,Tawang,"49,950"
32,Tirap,"111,997"
33,Upper Dibang Valley,"7,948"
34,Upper Siang,"35,289"
35,Upper Subansiri,"83,205"
36,West Kameng,"87,013"
37,West Siang,"112,272"
38,Baksa,"953,773"
39,Barpeta,"1,693,190"
40,Bishwanath, –  [Note 1]
41,Bongaigaon,"732,639"
42,Cachar,"1,736,319"
43,Charaideo, –  [Note 2]
44,Chirang,"481,818"
45,Darrang,"908,090"
46,Dhemaji,"688,077"
47,Dhubri,"1,948,632"
48,Dibrugarh,"1,327,748"
49,Dima Hasao,"213,529"
50,Goalpara,"1,008,959"
51,Golaghat,"1,058,674"
52,Hailakandi,"659,260"
53,Hojai, –  [Note 3]
54,Jorhat,"1,091,295"
55,Kamrup,"1,517,202"
56,Kamrup Metropolitan,"1,260,419"
57,Karbi Anglong,"965,280"
58,Karimganj,"1,217,002"
59,Kokrajhar,"886,999"
60,Lakhimpur,"1,040,644"
61,Majuli, –  [Note 4]
62,Morigaon,"957,853"
63,Nagaon,"2,826,006"
64,Nalbari,"769,919"
65,Sivasagar,"1,150,253"
66,South Salmara, –  [Note 5]
67,Sonitpur,"1,925,975"
68,Tinsukia,"1,316,948"
69,Udalguri,"832,769"
70,West Karbi Anglong, –  [Note 6]
71,Araria,"2,806,200"
72,Arwal,"700,843"
73,Aurangabad,"2,511,243"
74,Banka,"2,029,339"
75,Begusarai,"2,954,367"
76,Bhagalpur,"3,032,226"
77,Bhojpur,"2,720,155"
78,Buxar,"1,707,643"
79,Darbhanga,"3,921,971"
80,East Champaran,"5,082,868"
81,Gaya,"4,379,383"
82,Gopalganj,"2,558,037"
83,Jamui,"1,756,078"
84,Jehanabad,"1,124,176"
85,Kaimur,"1,626,900"
86,Katihar,"3,068,149"
87,Khagaria,"1,657,599"
88,Kishanganj,"1,690,948"
89,Lakhisarai,"1,000,717"
90,Madhepura,"1,994,618"
91,Madhubani,"4,476,044"
92,Munger,"1,359,054"
93,Muzaffarpur,"4,778,610"
94,Nalanda,"2,872,523"
95,Nawada,"2,216,653"
96,Patna,"5,772,804"
97,Purnia,"3,273,127"
98,Rohtas,"2,962,593"
99,Saharsa,"1,897,102"
100,Samastipur,"4,254,782"
101,Saran,"3,943,098"
102,Sheikhpura,"634,927"
103,Sheohar,"656,916"
104,Sitamarhi,"3,419,622"
105,Siwan,"3,318,176"
106,Supaul,"2,228,397"
107,Vaishali,"3,495,021"
108,West Champaran,"3,935,042"
109,Balod,"826,165"
110,Baloda Bazar, – 
111,Balrampur,"598,855"
112,Bastar,"1,302,253"
113,Bemetara,"197,035"
114,Bijapur,"229,832"
115,Bilaspur,"1,961,922"
116,Dantewada,"533,638"
117,Dhamtari,"799,199"
118,Durg,"3,343,079"
119,Gariaband, – 
120,Gaurela-Pendra-Marwahi, – 
121,Janjgir-Champa,"1,620,632"
122,Jashpur,"852,043"
123,Kabirdham,"584,667"
124,Kanker,"748,593"
125,Kondagaon, – 
126,Korba,"1,206,563"
127,Koriya,"659,039"
128,Mahasamund,"1,032,275"
129,Mungeli, – 
130,Narayanpur,"140,206"
131,Raigarh,"1,493,627"
132,Raipur,"4,062,160"
133,Rajnandgaon,"1,537,520"
134,Sukma,"249,000"
135,Surajpur,"660,280"
136,Surguja,"420,661"
137,North Goa,"817,761"
138,South Goa,"639,962"
139,Ahmedabad,"7,208,200"
140,Amreli,"1,513,614"
141,Anand,"2,090,276"
142,Aravalli,"1,051,746"
143,Banaskantha,"3,116,045"
144,Bharuch,"1,550,822"
145,Bhavnagar,"2,877,961"
146,Botad,"656,005"
147,Chhota Udepur,"1,071,831"
148,Dahod,"2,126,558"
149,Dang,"226,769"
150,Devbhoomi Dwarka,"752,484"
151,Gandhinagar,"1,387,478"
152,Gir Somnath,"1,217,477"
153,Jamnagar,"2,159,130"
154,Junagadh,"2,742,291"
155,Kheda,"2,298,934"
156,Kutch,"2,090,313"
157,Mahisagar,"994,624"
158,Mehsana,"2,027,727"
159,Morbi,"960,329"
160,Narmada,"590,379"
161,Navsari,"1,330,711"
162,Panchmahal,"2,388,267"
163,Patan,"1,342,746"
164,Porbandar,"586,062"
165,Rajkot,"3,157,676"
166,Sabarkantha,"2,427,346"
167,Surat,"4,996,391"
168,Surendranagar,"1,755,873"
169,Tapi,"806,489"
170,Vadodara,"3,639,775"
171,Valsad,"1,703,068"
172,Ambala,"1,136,784"
173,Bhiwani,"1,629,109"
174,Charkhi Dadri, – 
175,Faridabad,"1,798,954"
176,Fatehabad,"941,522"
177,Gurugram,"1,514,085"
178,Hissar,"1,742,815"
179,Jhajjar,"956,907"
180,Jind,"1,332,042"
181,Kaithal,"1,072,861"
182,Karnal,"1,506,323"
183,Kurukshetra,"964,231"
184,Mahendragarh,"921,680"
185,Nuh,"1,089,406"
186,Palwal,"1,040,493"
187,Panchkula,"558,890"
188,Panipat,"1,202,811"
189,Rewari,"896,129"
190,Rohtak,"1,058,683"
191,Sirsa,"1,295,114"
192,Sonipat,"1,480,080"
193,Yamuna Nagar,"1,214,162"
194,Bilaspur,"382,056"
195,Chamba,"518,844"
196,Hamirpur,"454,293"
197,Kangra,"1,507,223"
198,Kinnaur,"84,298"
199,Kullu,"437,474"
200,Lahaul and Spiti,"31,528"
201,Mandi,"999,518"
202,Shimla,"813,384"
203,Sirmaur,"530,164"
204,Solan,"576,670"
205,Una,"521,057"
206,Bokaro,"2,061,918"
207,Chatra,"1,042,304"
208,Deoghar,"1,491,879"
209,Dhanbad,"2,682,662"
210,Dumka,"1,321,096"
211,East Singhbhum,"2,291,032"
212,Garhwa,"1,322,387"
213,Giridih,"2,445,203"
214,Godda,"1,311,382"
215,Gumla,"1,025,656"
216,Hazaribag,"1,734,005"
217,Jamtara,"790,207"
218,Khunti,"530,299"
219,Koderma,"717,169"
220,Latehar,"725,673"
221,Lohardaga,"461,738"
222,Pakur,"899,200"
