,DESCRIPTION,DATE,MONTH,YEAR,CITY,STATE,ZONE,CASUALITIES,NUMBER OF CASUALITIES,EQUIPMENTS,LITERACY,POPULATION,NUMBER OF INCIDENTS,GROWTH IN GDP,INFLATION,TERRORIST GROUP,CLASSIFY
0,1993 blasts: Sanjay Dutt guilty under Arms Act; faces 5 years.---,2006-11-28,NOVEMBER,2006,---,---,---,No,0,---,DATA NOT AVAILABE,DATA NOT AVAILABLE,167,9.3%,6.7%,DATA NOT AVAILABLE,1
1,Over 300 Stone Pelting Incidents in Kashmir Since Scrapping of Special Status: Internal Govt Note.Take the pledge to vote,2019-10-10,OCTOBER,2019,---,Jammu and Kashmir,North,No,0,STONE,68.74,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,1
2,"


.---",2007-10-22,OCTOBER,2007,---,---,---,No,0,---,DATA NOT AVAILABE,DATA NOT AVAILABLE,149,9.8%,6.2%,DATA NOT AVAILABLE,0
3,"At Least 100 Dead in India Terror Attacks.

The New York Times

",2008-11-26,NOVEMBER,2008,---,---,---,Yes,100,---,DATA NOT AVAILABE,DATA NOT AVAILABLE,534,3.9%,9.1%,DATA NOT AVAILABLE,1
4,"
Two killed in first gun battle sine Kashmir lockdown began
.News latest
",2019-08-21,AUGUST,2019,---,Jammu and Kashmir,North,Yes,2,gun,68.74,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,1
5,15 Indian commandos driver killed in Maoist attack .Asia,2020-01-07,JANUARY,2020,---,---,---,Yes,15,---,DATA NOT AVAILABE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,Maoist Communist Centre,1
6,"
                    DAWN.COM
                .Today's Paper | January 07 2020",2019-02-14,FEBRUARY,2019,---,---,---,No,0,---,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
7,Maoist rebels kill 15 police commandos driver in west India.Classifieds,2019-05-01,MAY,2019,---,---,---,Yes,15,---,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,Maoist Communist Centre,1
8,J&K; police seize truck smuggling 6 automatic rifles ammunition to Kashmir Valley; 3 JeM operatives held.A major terror attack was thwarted after J&K; Police arrested three persons in connection with a foiled attempt to smuggle six AK-47 rifles to the Kashmir Valley on Thursday. An investigation is underway.,2019-09-12,SEPTEMBER,2019,---,Jammu and Kashmir,North,No,0,RIFLES,68.74,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,1
9,"
Attack by militants kills at least seven Hindu pilgrims in Kashmir
.WhatsApp warriors on the new frontline of Kashmir’s conflict",2017-07-10,JULY,2017,---,Jammu and Kashmir,North,Yes,7,---,68.74,DATA NOT AVAILABLE,1000,7.2%,3.6%,DATA NOT AVAILABLE,1
